,BY4741_24ave,BY4741_24std,BY4741_37ave,BY4741_37std,elo1_24ave,elo1_24std,elo1_37ave,elo1_37std,elo2_24ave,elo2_24std,elo2_37ave,elo2_37std,elo3_24ave,elo3_24std,elo3_37ave,elo3_37std
TAG 12:0-14:1-16:1,0.030568242,0.009517803,0,0,0.044032868,0.008476102,0,0,0,0,0,0,0.04011415,0.002831324,0,0
TAG 12:0-12:0-18:1,0.007499543,0.000758751,0,0,0.016367474,0.000208316,0,0,0.004780305,0.000417465,0,0,0.010079811,0.00103271,0,0
TAG 12:0-14:0-16:1,0.132488283,0.013404241,0,0,0.112761743,0.001435169,0,0,0.054789645,0.004784786,0.001985773,0.002808307,0.057728871,0.005914511,0,0
TAG 12:0-14:0-16:0,0.073779177,0.00016113,0,0,0.055911778,0.003540375,0,0,0.034945062,0.000571953,0,0,0.001101471,0.001557715,0,0
TAG 12:1-16:1-16:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAG 12:0-16:1-16:1,0.107667457,0.001674977,0,0,0.173656571,0.000716924,0,0,0.062582417,0.009688028,0,0,0.111527738,0.002402413,0,0
TAG 12:0-16:0-16:1,0.211592654,0.002475929,0,0,0.242891577,0.017199899,0,0,0.131407287,0.004526487,0.016981175,0.002956262,0.093770343,0.004518202,0.014997239,0.008137084
TAG 12:0-16:0-16:0,0.096425679,0.000181572,0.003027191,0.004281095,0.087930573,0.002015581,0,0,0.071668544,0.000943048,0.00972563,0.000996387,0,0,0.003581244,0.000781221
TAG 14:1-16:1-16:1,0.017301816,0.000142183,0,0,0.067166317,0.012104222,0,0,0.002173749,0.003074145,0,0,0.037749553,0.001903199,0,0
TAG 14:0-16:1-16:1,0.190175677,0.004581649,0,0,0.323011977,0.018558918,0.032714256,0.001179151,0.114565299,0.015205078,0.002661635,0.00376412,0.142769784,0.002282198,0.025869995,0.036585698
TAG 12:0-16:1-18:1,0.030391186,0.000732174,0,0,0.069276261,0.003980324,0,0,0.037204209,0.004937733,0.000887031,0.001254451,0.02359641,0.000377192,0,0
TAG 14:0-16:0-16:1,0.165284449,0.008623712,0.006641564,0.000273867,0.221604071,0.007991394,0.045732002,0.003736435,0.12296531,0.016145979,0.014784322,0.001025351,0.062760557,0.004690683,0.041606959,0.004403615
TAG 12:0-16:0-18:1,0.038800877,0.002024435,0,0,0.049447231,0.001783145,0.007446473,0.000608398,0.038764245,0.005089945,0.005842263,0.000405184,0.012319044,0.000920717,0.007617991,0.000806276
TAG 14:0-16:0-16:0,0.014659814,0.004554193,0,0,0.031116426,0.002987094,0,0,0.02186068,0.018562574,0,0,0,0,0,0
TAG 16:1-16:1-16:1,0.607868275,0.019750793,0.083778996,0.001834038,1.020327431,0.051231672,0.057258021,0.002455672,0.345391259,0.011874186,0.1080479,0.014654921,0.337924563,0.006678097,0.22008299,0.015357681
TAG 14:1-16:1-18:1,0.015129459,0.000491585,0,0,0.050328131,0.002527026,0.001815096,7.78E-05,0.01661121,0.000571076,0,0,0.019125187,0.000377954,0,0
TAG 16:0-16:1-16:1,0.794895611,0.036367138,0.230113299,0.014209297,0.839537162,0.054942708,0.143008311,0.003619451,0.488340773,0.001599557,0.199690975,0.013142349,0.244837288,0.017125697,0.297591931,0.012510146
TAG 14:0-16:1-18:1,0.082362155,0.003768137,0.012354963,0.000762908,0.158275281,0.010358175,0.037619049,0.000952115,0.085628204,0.000280475,0.015488237,0.001019334,0.044407229,0.003106164,0.025465946,0.001070535
TAG 16:0-16:0-16:1,0.291100607,0.002519687,0.13550323,0.015525045,0.258481372,0.002624743,0.075920906,0.005952466,0.206477345,0.013008179,0.121120643,0.006970009,0.062545102,0.005060847,0.127107945,0.001716919
TAG 14:0-16:0-18:1,0.042337122,0.000366458,0.010452387,0.001197564,0.069640558,0.000707163,0.027897177,0.002187237,0.053668691,0.003381155,0.011321875,0.000651529,0.016971664,0.001373265,0.017520512,0.00023666
TAG 12:0-14:1-22:0,0.003771806,3.26E-05,0,0,0.011082176,0.000112534,0,0,0.004913566,0.000309557,0,0,0.0043574,0.00035258,0,0
TAG 16:0-16:0-16:0,0,0,0,0,0.002211174,0.003127072,0,0,0.001183507,0.001673732,0,0,0,0,0,0
TAG 16:1-16:1-18:1,0.620930122,0.010921446,0.146103516,0.002706743,1.342799821,0.064907478,0.122984677,0.003614761,0.678520469,0.023085865,0.210565566,0.020875801,0.269475331,0.028374175,0.191455988,0.007413201
TAG 16:1-16:1-18:0,0.420718396,0.013237441,0.169997588,0.008839407,0.518983787,0.034087027,0.109674162,0.003612464,0.443255495,0.016311824,0.173993188,0.007826251,0.10190126,0.009809947,0.125919501,0.001011214
TAG 16:0-16:1-18:1,0.343553863,0.010809544,0.168122571,0.008741912,0.467696491,0.030718461,0.10604885,0.003493053,0.389913901,0.014348851,0.190203546,0.008555397,0.08348391,0.008036925,0.117285441,0.000941877
TAG 16:0-16:1-18:0,0.230282921,0.002265145,0.15511543,0.025984957,0.219515217,0.002378894,0.079121339,0.014279536,0.235989115,0.001596321,0.162869939,0.001677958,0.042811479,0.00020729,0.091590206,0.003354254
TAG 14:0-18:0-18:1,0.038507958,0.000378778,0.027398173,0.004589746,0.053866512,0.000583753,0.024792834,0.004474522,0.055272521,0.000373885,0.031380248,0.000323293,0.01176162,5.69E-05,0.016162192,0.000591898
TAG 12:0-16:1-22:0,0,0,0,0,0,0,0,0,0,0,0,0,0.009982076,4.83E-05,0.003611238,0.000132252
TAG 16:0-16:0-18:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000869706,0.00122995
TAG 16:1-18:1-18:1,0.173669397,0.007057366,0.047962116,0.011222514,0.510172363,0.030813983,0.048095027,0.003889739,0.417840976,0.022250501,0.104049732,0.01609975,0.063278349,0.007698323,0.023323762,0.007421956
TAG 16:1-18:0-18:1,0.170999837,0.003468243,0.110899663,0.027930716,0.254054231,0.019867151,0.078876142,0.00406963,0.296050353,0.015887356,0.134289063,0.001901352,0.051282158,0.006261897,0.060474179,0.002724955
TAG 16:0-18:1-18:1,0.120970638,0.002453544,0.085395051,0.021507233,0.223617049,0.01748695,0.051639483,0.002664349,0.253862312,0.013623361,0.118102111,0.001672166,0.030361662,0.003707363,0.037295698,0.001680537
TAG 14:1-16:1-22:0,0,0,0,0,0,0,0,0,0,0,0,0,0.006528245,0.000797143,0,0
TAG 16:1-16:1-20:0,0.007242349,0.00014689,0,0,0.010012864,0.00078301,0,0,0,0,0,0,0.007069194,0.000863196,0.013132945,0.000591768
TAG 16:0-18:0-18:1,0.063048647,0.00059388,0.091628201,0.025905892,0.041967478,0.059350976,0.042248545,0.0045237,0.107915908,0.0083136,0.08115351,0.005049697,0.01537012,0.001463913,0.0306622,0.007384259
TAG 16:1-18:0-18:0,0.070167255,0.000660933,0.077194546,0.021825088,0.041671656,0.058932621,0.040019377,0.004285015,0.102979445,0.007933306,0.069051845,0.004296683,0.022974822,0.002188216,0.035402301,0.0085258
TAG 14:0-18:1-20:0,0.0043512,4.10E-05,0,0,0.00246033,0.003479432,0,0,0,0,0,0,0.003685551,0.000351027,0.010832515,0.002608753
TAG 14:0-16:1-22:0,0,0,0,0,0,0,0,0,0,0,0,0,0.008890866,0.000846803,0.009547773,0.002299353
TAG 16:0-16:0-18:0,0.007712905,0.010907695,0,0,0,0,0.002244131,0.003173681,0,0,0,0,0,0,0,0
TAG 18:1-18:1-18:1,0.013000236,0.007426896,0,0,0.081785173,0.001104189,0,0,0.087620459,0.001276234,0.005585303,0.007898812,0.003689622,0.005217913,0.001479928,0.002092934
TAG 18:0-18:1-18:1,0.047253299,0.003169772,0.021949879,0.010693388,0.097002607,0.006088003,0.017414479,0.001133086,0.153739628,0.005318002,0.073094297,0.005381275,0.017832785,0.00107208,0.008872452,0.012547543
TAG 16:1-16:1-22:0,0.015203085,0.001019829,0.00599363,0.002919935,0.021932097,0.001376486,0.004517173,0.000293913,0,0,0,0,0.106346762,0.006393407,0.072594372,0.102663945
TAG 16:1-18:1-20:0,0.006750471,0.000452825,0.002661287,0.001296507,0.005938015,0.000372677,0,0,0,0,0,0,0.00625482,0.00037603,0.006402638,0.009054697
TAG 18:0-18:0-18:1,0.025109483,0.001566636,0.029555095,0.010355304,0.039143458,0.005244301,0.009593887,0.013567805,0.047577842,0.004242622,0.024976886,0.002581591,0.005845992,0.000267648,0.013138808,0.00081373
TAG 14:0-18:1-22:0,0,0,0,0,0.002001469,0.00026815,0,0,0,0,0,0,0.014435686,0.000660911,0.038640079,0.002393107
TAG 16:0-16:1-22:0,0.008713725,0.000543669,0,0,0.00889181,0.001191293,0,0,0,0,0,0,0.019406588,0.000888494,0.063898441,0.00395744
TAG 16:0-18:1-20:0,0.002026275,0.000126424,0,0,0.002001469,0.00026815,0,0,0,0,0,0,0,0,0.008033364,0.000497533
TAG 18:0-18:0-18:0,0.001739415,0.002459904,0,0,0.001396188,0.001974508,0.001474325,0.00208501,0,0,0,0,0,0,0,0
TAG 16:1-16:1-24:0,0.018147148,0.004013558,0,0,0.003382168,0.004783108,0.000905632,0.001280757,0,0,0,0,0.019309664,0.002981894,0.027021719,0.002459009
TAG 16:1-18:1-22:0,0,0,0,0,0.001301714,0.001840901,0,0,0,0,0,0,0.039254866,0.00606193,0.053958895,0.004910325
TAG 14:0-16:1-26:0,0.016880611,0.002872992,0,0,0,0,0.001670804,0.002362874,0,0,0,0,0,0,0,0
TAG 16:0-16:1-24:0,0.011161497,0.001899628,0.005601213,0.007666903,0,0,0,0,0,0,0,0,0,0,0,0
TAG 16:0-18:1-22:0,0,0,0,0,0,0,0,0,0,0,0,0,0.005407476,0.007647326,0.044521412,0.009524095
TAG 14:0-16:0-26:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAG 16:0-18:0-22:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAG 16:1-16:1-26:0,0.075247898,0.000719151,0.05523616,0.000586371,0.045649922,0.010457721,0.035955724,0.007638295,0,0,0,0,0,0,0,0
TAG 16:1-18:1-24:0,0.005340173,5.10E-05,0,0,0.00618982,0.001417996,0,0,0,0,0,0,0,0,0,0
TAG 18:1-18:1-22:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAG 16:0-16:1-26:0,0.040137708,0.003088152,0.025708352,0.004013065,0.036557174,0.012741313,0.026251438,0.001876395,0,0,0.001864651,0.002637014,0,0,0,0
TAG 16:0-18:1-24:0,0.009453283,0.000727325,0.003213544,0.000501633,0.003374508,0.001176121,0,0,0,0,0,0,0,0,0,0
TAG 18:0-18:1-22:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAG 16:0-16:0-26:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAG 16:0-18:0-22:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAG 16:1-18:1-26:0,0.046884704,0.008359476,0.071596832,0.000168453,0.01925107,0.006830984,0.053550316,0.016935727,0,0,0,0,0,0,0,0
TAG 16:0-18:1-26:0,0.031990868,0.008401594,0.036480395,0.00583279,0.013920964,0.010765786,0.018759559,0.001920488,0,0,0,0,0,0,0,0
TAG 16:0-18:0-26:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAG 18:1-18:1-26:0,0,0,0,0,0,0,0.000746572,0.001055812,0,0,0,0,0,0,0,0
TAG 18:0-18:1-26:0,0.00190122,0.002688731,0,0,0,0,0.009530126,0.002737157,0,0,0,0,0,0,0,0
TAG 18:0-18:0-26:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAG 12:0-16:1,0.036246698,0.000778141,0,0,0,0,0,0,0.042310344,0.003742828,0.005867608,0.008298051,0.1392457,0.002079094,0.008470965,0.011979753
DAG 12:0-16:0,0.104839133,0.000952932,0.011580423,0.004220205,0.036586846,0.008572449,0.016998096,0.024038938,0.040118662,0.005797995,0.029722697,0.008328085,0.050662997,0.003365995,0.021148856,0.008228414
DAG 14:1-16:1,0,0,0,0,0,0,0,0,0,0,0,0,0.037349093,0.00189011,0,0
DAG 14:0-16:1,0.13680499,0.011649333,0,0,0.127167117,0.002437084,0.106232627,0.014261107,0.065734209,0.003875651,0.020635303,0.006154188,0.212251561,0.019412228,0.067309984,0.000729083
DAG 14:0-16:0,0.013646187,0.004595578,0.004892928,0.001328318,0.022871334,0.006125083,0.03515124,0.049711361,0.007675142,0.002137777,0.011049362,0.002479228,0,0,0.00501342,0.007090047
DAG 16:1-16:1,0.866499313,0.088202116,0.379779958,0.007022107,0.340908868,0.000118813,0.365531111,0.047092089,0.515164721,0.007286347,0.387224752,0.030519732,0.993351306,0.042919443,0.859011699,0.071546523
DAG 16:0-16:1,0.757486686,0.053242357,0.544704226,0.015476353,0.428457787,0.005987997,0.569674618,0.055724231,0.443926586,0.005453308,0.54841221,0.075171519,0.49043666,0.010042079,0.638699586,0.011106254
DAG 16:0-16:0,0,0,0.019352805,8.21E-05,0,0,0.008453871,0.011955578,0,0,0.019975544,0.028249686,0,0,0,0
DAG 16:1-18:1,0.830893976,0.0697673,0.644247863,0.039230754,0.377741835,0.019560578,0.729643579,0.107312351,1.02661651,0.040438108,0.860840122,0.078890287,0.713979833,0.026017765,0.825597219,0.019385439
DAG 16:0-18:1,0.687737584,0.035989597,0.858908074,0.042377707,0.444774725,0.008410537,0.857855255,0.074761013,0.841136322,0.061910946,1.031927304,0.07689469,0.392869861,0.013951685,0.519556331,0.007489898
DAG 18:1-18:1,0.020565862,0.0007029,0.018071234,0.006673584,0.009783709,0.00178609,0.032918977,0.000351849,0.190395203,0.006159596,0.086251842,0.024442779,0.006436749,0.009102938,0.012969364,0.004472502
DAG 18:0-18:1,0.153175184,0.020586875,0.23688189,0.034674643,0.121043601,0.001587866,0.331735796,0.042445021,0.476172944,0.017923496,0.502307621,0.024271354,0.052348584,0.020036979,0.013492003,9.87E-05
LPA 10:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA 12:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA 14:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA 14:0,0,0,0,0,0,0,0.004148268,0.002238404,0,0,0,0,0,0,0,0
LPA 16:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA 16:1,0.250176082,0.057210641,0.199790626,0.005810866,0.220295487,0.02054094,0.156108524,0.004686984,0.226679714,0.008802192,0.234235038,0.004211371,0.216424854,0.004346106,0.279715152,0.019773197
LPA 16:0,0.0499044,0.01337946,0.081256606,0.002929079,0.06480096,0.012377601,0.05745933,0.010483398,0.001470528,0.00207964,0.021624785,0.008940394,0,0,0.013808088,0.006488962
LPA 18:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA 18:1,0.078306112,0.030609189,0.171416269,0.012418422,0.101359983,0.000925496,0.122715929,0.000837236,0.154032446,0.006088238,0.166695048,0.017770335,0.019689741,0.001100439,0.089449186,0.026604806
LPA 18:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA 22:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA 24:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPA 26:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA 12:0-16:1,0.220658079,0.024837646,0.055204454,0.001390265,0.136594076,0.012151704,0.05753748,0.000521209,0.098683489,0.001964024,0.037831181,0.002979802,0.294632031,0.015039011,0.124936815,0.000506622
PA 12:0-16:0,0.112607752,0.006900007,0.116392991,0.000254811,0.080307503,0.000727905,0.132102761,0.006944031,0.036238283,0.003284017,0.038550214,0.000446459,0.056645037,0.007649205,0.11100832,0.001504823
PA 14:1-16:0,0.053741005,0.002452603,0.00985215,0.013933044,0.098635236,0.002434386,0.074958723,0.002937625,0.019551869,0.001843604,0,0,0.06010675,0.006078846,0.031192255,0.003527833
PA 14:0-16:1,0.234228648,0.015508065,0.075649127,0.003087023,0.305694524,0.000975996,0.265533474,0.001603365,0.06142794,0.000633977,0.043108598,0.005669442,0.197098288,0.00147284,0.169976552,0.012020194
PA 16:1-16:1,2.412777436,0.400342657,1.270424349,0.026015329,1.979658329,0.070264351,1.082114665,0.04381615,1.820063567,0.032430106,1.565839888,0.0029913,3.061312409,0.428298606,3.137766141,0.048989225
PA 16:0-16:1,1.158935874,0.040879822,1.218266818,0.092539162,0.83891264,0.041742837,0.88948144,0.014201215,0.311524028,0.012681572,0.514820662,0.016939218,0.465687224,0.00285342,0.923961542,0.002795231
PA 16:0-16:0,0.004270967,0.006040059,0.152953751,0.002706617,0,0,0.119991334,0.00112669,0.004073361,0.001825293,0.02528173,0.005613768,0,0,0.080581246,0.011725335
PA 16:1-18:1,3.037968325,0.17006358,3.079205786,0.163916378,3.021458255,0.089208556,3.236251589,0.099213493,3.892562296,0.027864155,4.2985016,0.238323258,3.234649698,0.268123045,4.495675483,0.09479291
PA 16:0-18:1,0.756321356,0.074858942,1.099767752,0.082829496,0.781536805,0.022730382,0.990011033,0.010253744,0.382004377,0.004691646,0.650206197,0.041575566,0.183960077,0.00235932,0.415390087,0.02141829
PA 18:0-16:1,0.092831063,0.015214721,0.080781286,0.007695176,0.03175088,0.044902526,0.098511958,0.011863929,0.053874335,0.013481246,0.052730713,0.009826556,0.045720815,0.002593052,0.064474975,0.006858609
PA 18:1-18:1,0.200605334,0.030094339,0.28895623,0.024044008,0.187425041,0.007817091,0.313897247,0.02045024,0.368975787,0.005586588,0.284422894,0.014257463,0.15208669,0.001130648,0.233359512,0.017820589
PA 18:0-18:1,0.056550393,0.011344385,0.108408339,0.011647602,0.083262768,0.020368164,0.046994198,0.066459833,0.079573313,0.003049287,0.051663379,0.073063051,0.018899631,0.026728114,0.029650333,0.041931903
LPS 10:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPS 12:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPS 14:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPS 14:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPS 16:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPS 16:0,0,0,0,0,0.019385886,0.000937389,0,0,0,0,0,0,0,0,0,0
LPS 18:1,0,0,0.00766262,0.003658392,0,0,0,0,0,0,0.009328061,0.001081839,0,0,0.002666004,0.0037703
LPS 18:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS 12:0-16:1,0.029534411,0.001930224,0.013847798,0.019583744,0.033186288,0.004378116,0.027900852,0.003099762,0.011495271,0.016256768,0.012558753,0.017760759,0.044052083,0.001941048,0.052945701,0.002881344
PS 12:0-16:0,0.005085705,0.007192272,0.005168118,0.007308822,0.008980402,0.012700206,0,0,0,0,0,0,0,0,0,0
PS 14:1-16:0,0,0,0,0,0,0,0.007341859,0.010382956,0,0,0,0,0,0,0,0
PS 14:0-16:1,0,0,0.008455498,0.01195788,0.044874975,0.001821515,0.0599682,0.000295407,0,0,0.006622985,0.009366315,0.009891149,0.013988197,0.029371651,0.003219963
PS 16:1-16:1,0.402019071,0.015168673,0.546618823,0.032779694,0.286535762,0.001084234,0.438915416,0.02565353,0.295461048,0.0045238,0.638683246,0.017973555,0.545059167,0.044498324,0.778370175,0.06213787
PS 16:0-16:1,0.24575155,0.049383396,0.316941509,0.011020254,0.279550682,0.005999213,0.227117626,0.009032101,0.039850305,0.005788239,0.123209368,0.003994269,0.044518445,0.002939073,0.100839392,0.003800904
PS 16:0-16:0,0.00464196,0.001066853,0.021281767,0.002573824,0.004062208,0.005744829,0.01355287,0.004546269,0,0,0,0,0,0,0.007055714,0.001855023
PS 16:1-18:1,0.843976916,0.108426314,1.61747428,0.067492997,0.835070415,0.041441694,1.846412597,0.029763716,1.212262847,0.096270948,2.548383461,0.05070969,0.826804892,0.013518403,1.374407656,0.012527132
PS 16:0-18:1,0.251187379,0.019665881,0.381225329,0.003742878,0.414263496,0.010152867,0.348854347,0.004745877,0.059423276,0.004855027,0.185464263,0.008138461,0.020761403,0.003451264,0.05557863,0.007615826
PS 18:0-16:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS 18:1-18:1,0.013993045,0.002601355,0.013881956,0.002112766,0.013086201,0.001987019,0.019816016,0.001162068,0.02157837,0.000373758,0.025590449,0.001579506,0.007113387,0.000538034,0.011474727,0.000760661
PS 18:0-18:1,0.005563776,0.007868367,0,0,0,0,0,0,0,0,0.008803499,0.012450028,0,0,0,0
LPE 10:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE 12:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE 14:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE 14:0,0.003123185,0.000612074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE 16:1,0.681824304,0.113764764,0.14615353,0.009207051,0.171932121,0.019513419,0.080557336,0.058144539,0.294121621,0.003195136,0.149813018,0.028981473,0.547109842,0.011400379,0.296709772,0.00471139
LPE 16:0,0.010770418,0.00496633,0,0,0.106980424,0.014268777,0.002894406,0.004093309,0,0,0,0,0,0,0,0
LPE 18:1,0.544124379,0.157597443,0.265543293,0.030267523,0.194849617,0.029068743,0.122979958,0.090455788,0.477810599,0.000946808,0.352562554,0.139690067,0.308180377,0.045136291,0.3126929,0.007504848
LPE 18:0,0,0,0,0,0,0,0,0,0,0,0.005043803,0.000964092,0,0,0.001293293,0.001828993
LPE 22:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE 24:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPE 26:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 12:0-16:1,0.545408778,0.06207353,0.06303482,0.089144697,0.325248915,0.012345178,0.144500965,0.021923983,0.164656568,0.00797861,0.052986308,0.074933955,0.523011048,0.002628335,0.076515112,0.10820871
PE 12:0-16:0,0.050031315,0.00924678,0,0,0.037768999,0.053413431,0,0,0,0,0,0,0,0,0,0
PE 14:1-16:0,0.046440559,0.00557533,0,0,0.089301168,0.002368195,0,0,0,0,0,0,0,0,0,0
PE 14:0-16:1,0.28512647,0.002106236,0,0,0.354552536,0.022933584,0.364679034,0.038621695,0.032405326,0.045828052,0.03745736,0.052972706,0.162793971,0.00803125,0.05313852,0.075149215
PE 16:1-16:1,6.614716215,0.853640345,2.738455861,0.229409031,4.085412814,0.159897567,2.663171651,0.21310077,3.71858355,0.010072041,2.820811415,0.215035272,7.697825642,0.803614613,4.833372348,0.497953034
PE 16:0-16:1,0.726105816,0.006654812,0.551637359,0.055779213,0.581857262,0.065947175,0.467249644,0.027453451,0,0,0.392761429,0.135862903,0.085104966,0.120356597,0.083002462,0.117383207
PE 16:0-16:0,0,0,0,0,0,0,0.011735992,0.016597199,0,0,0,0,0,0,0,0
PE 16:1-18:1,5.782442714,0.380705867,3.465981246,0.730970395,4.24722606,0.081086573,4.467926585,0.174594215,6.232734178,0.330719528,5.485277235,0.065103997,5.426251432,0.236237785,4.053016878,0.050369221
PE 16:0-18:1,0.434524834,0.036979399,0.284171946,0.139722634,0.372720007,0.13820951,0.30817111,0.093158401,0.06779659,0.095878857,0.303466267,0.08253855,0,0,0.098034729,0.138642044
PE 18:0-16:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 18:1-18:1,0.362066874,0.006754822,0.192726562,0.121038335,0.379637204,0.021391934,0.31905994,0.066550812,0.823661347,0.161792125,0.831622507,0.043975344,0.353250522,0.010139347,0.254836945,0.010837279
PE 18:0-18:1,0,0,0,0,0,0,0.044444088,0.062853432,0,0,0.063948413,0.090436712,0,0,0,0
LPC 10:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC 12:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC 14:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC 14:0,0.002051553,0.002901334,0,0,0.001307709,0.00184938,0.034523892,0.008689883,0,0,0,0,0,0,0.003574312,0.00505484
LPC 16:1,1.021619299,0.088949269,0.60659427,0.012121377,0.332264877,0.01525952,0.410341262,0.0142179,0.824772135,0.008420048,0.453341857,0.015038325,0.725391476,0.005452248,0.768140113,0.022457071
LPC 16:0,0.03871885,0.002224583,0.14177406,0.000502363,0.073217419,0.002788321,0.069864658,0.012535819,0.001970693,0.002786981,0.086879772,0.018430702,0,0,0.050828761,0.011224971
LPC 18:1,0.491204935,0.043053254,0.535492706,0.02510881,0.244760333,0.00375416,0.420391426,0.013555843,0.767255871,0.004002294,0.500115211,0.029420811,0.180023597,0.00801628,0.27570804,0.003566321
LPC 18:0,0,0,0.00533011,0.00101148,0.040227536,0.009703719,0.002277032,0.00322021,0,0,0,0,0,0,0,0
PC 10:0-16:1,0.214857225,0.027287598,0.128700233,0.011604851,0.110562236,0.006574774,0.124007422,0.010176326,0.143878681,0.035968069,0.067779025,0.019101771,0.216461672,0.053215842,0.115752723,0.017073484
PC 10:0-16:0,0.038250046,0.001923666,0.083306328,0.013446074,0.039136098,0.00132779,0.09202979,0.005588408,0.00945489,0.005873613,0.055379774,0.01057041,0.018005252,0.001775939,0.057653943,0.018908039
PC 12:0-16:1,0.37732888,0.002724619,0.316066246,0.016308486,0.272884317,0.004452147,0.366713853,0.007904201,0.190439198,0.002079706,0.144272287,0.010024293,0.510317792,0.005447016,0.300335607,0.000109796
